Text1,Text2,Class
The UAV shall transmit information to any devices.,The UAV shall only transmit information to authorized devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall transmit information to authenticated and unauthenticated devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only send information to authenticated devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only transmit information to registered devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only transmit information to any authenticated devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only transmit information to authenticated devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall transmit information to the authenticated device.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only receive information from authenticated devices. ,Conflict
The UAV shall transmit information to any devices.,The UAV shall exclusively communicate information to authenticated devices. ,Conflict
The UAV shall transmit information to any devices.,The UAV shall transmit information to all devices.,Conflict
The UAV shall transmit information to any devices.,The Hummingbird shall exclusively transmit information to authenticated devices.,Conflict
The UAV shall transmit information to any devices.,The UAV may transmit data to unknown devices,Conflict
The UAV shall transmit information to any devices.,The UAV may not transmit data to unauthenticated devices,Conflict
The UAV shall transmit information to any devices.,The UAV shall transmit information to all devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall only transmit information to authenticated and approved devices.,Conflict
The UAV shall transmit information to any devices.,The UAV shall transmit information to any device that requests connection.,Conflict
The UAV shall transmit information to any devices.,The Pilot shall be able to communicate with the custom communications network  within a 50-mile radius of the pilot station.,Neural
The UAV shall transmit information to any devices.,"The Pilot shall be able to fly the UAV in all directions originating from the UAV's ""forward looking"" position.",Neural
The UAV shall transmit information to any devices.,The UAV visual feed should include a night time IR camera capacity,Neural
The UAV shall transmit information to any devices.,The Pilot should be able to manuever the UAV in any direction with respect to the UAV's front,Neural
The UAV shall transmit information to any devices.,The UAV shall be able to fly above an average 90 story building,Neural
The UAV shall transmit information to any devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to 4 separate UAV Viewer devices.,Neural
The UAV shall transmit information to any devices.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Neural
The UAV shall transmit information to any devices.,UAV data will be secure so only authorized access is allowed.,Neural
All UAV data transmission shall be open to access.,All UAV data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall be secure against authenticated access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall send to only authorized access points.,Conflict
All UAV data transmission shall be open to access.,Most UAV data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,Any UAV data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,The UAV's data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,The UAV data transmission shall be open to unauthorized access. ,Conflict
All UAV data transmission shall be open to access.,The UAV data communication shall be secure from unauthorized access. ,Conflict
All UAV data transmission shall be open to access.,Only some UAV data transmission shall be secure against unauthorized access.,Conflict
All UAV data transmission shall be open to access.,UAV data will be secure so only authorized access is allowed.,Conflict
All UAV data transmission shall be open to access.,Some UAV data can be transmitted to unauthorized data,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall be secure from unauthorized access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall be secure against all access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission must be secure against all unauthorized access.,Conflict
All UAV data transmission shall be open to access.,All UAV data transmission shall be be open to access by unauthorized access.,Conflict
All UAV data transmission shall be open to access.,Remote surveillance should support a mission of up to 1 hours with a recharge,Neural
All UAV data transmission shall be open to access.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,Neural
All UAV data transmission shall be open to access.,These are the consumer guidelines for Aviary.,Neural
All UAV data transmission shall be open to access.,Pilot can operate the UAV in any direction relative to the UAV's forward position.,Neural
All UAV data transmission shall be open to access.,The UAV shall accept commands from an authenticated remote viewing app.,Neural
All UAV data transmission shall be open to access.,The aircraft shall be known as the Eagle.,Neural
All UAV data transmission shall be open to access.,The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,Neural
All UAV data transmission shall be open to access.,"The UAV shall support a stealth mode in which it emits no visible light during flight, which may be enabled or disabled from the Pilot control.",Neural
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about malfunctions.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot information about weather that impacts the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about error messages impacting the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about malfunctions that don't impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time data about malfunctions that impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about malfunctions that impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall instantaneously transmit information to the Pilot regarding mission-impacting failures.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about optimizations that impact the mission. ,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time data about errors that affect the mission. ,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about all malfunctions.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The Hummingbird shall send the Pilot real-time information about malfunctions that impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about directions that impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about any problems that occur during mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot real-time information about any malfunctions that occurr.,Conflict
The UAV shall save information about malfunctions that impact the mission.,The UAV shall send the Pilot only real-time information about malfunctions that impact the mission.,Conflict
The UAV shall save information about malfunctions that impact the mission.,"The UAV shall send the Pilot information with no more than 3-second delay, about malfunctions that impact the mission.",Conflict
The UAV shall save information about malfunctions that impact the mission.,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Neural
The UAV shall save information about malfunctions that impact the mission.,"The Pilot shall be able to set the zoom, aim and focus of the UAV camera in real-time.",Neural
The UAV shall save information about malfunctions that impact the mission.,Remote surveillance should support a mission of up to 1 hours with a recharge,Neural
The UAV shall save information about malfunctions that impact the mission.,The Pilot controller shall connect/disconnect to at least one Hummingbird in a secure fashion at any time.,Neural
The UAV shall save information about malfunctions that impact the mission.,"The UAV shall send time-delayed altitude-above-floor information to the Pilot to facilitate landing, take off and object avoidance.",Neural
The UAV shall save information about malfunctions that impact the mission.,The Pilot shall yaw the UAV independently from its direction of travel.,Neural
The UAV shall save information about malfunctions that impact the mission.,The UAV shall support stealth mode during flight.,Neural
The UAV shall save information about malfunctions that impact the mission.,The Pilot Controller shall be able to connect to up to one Hummingbird at any time in a secure manner.,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and hover in position until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of remote viewing app communication success and hover in position when communication is unstable.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication is lost and and hover in position until communication is reestablished,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume or return to 'home' unless communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall hover in-position when a Pilot communication loss has been detected and resume only when communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to hover in position until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,"The UAV shall detect a loss of communication with the Pilot, wait for communication to resume, and hover in place until communication is resumed.",Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communicaion loss and either wait for communication to resume or attempt to hover in position until communication is reestablished. ,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of communication loss with Pilot and both wait for communication to continue and try to hover in location until communication is restored. ,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to land and wait until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The Hummingbird shall detect instances of Pilot communication loss and wait for communication to resume and attempt to maintain its position until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and either wait for communication or resume and attempt to hover in position until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss and upon doing so wait for communication to resume and attempt to hover in position until any communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV detect instances of Pilot communication loss and either wait for communication to resume or attempt to hover in position until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,"After detecting any instances of Pilot communication loss, the UAV shall wait for resumed communication and in the meanwhile attempt to hover in position until communication is reestablished.",Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall detect instances of Pilot communication loss.  It shall wait for communication to resume and continue along its pre-existing path until communication is reestablished.,Conflict
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The plane will be called the Hummingbird. ,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall be visible to observers to at least 100m in daylight and 25m at night.,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,Any UAV data transmission shall be secure against unauthorized access.,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,"The Pilot controller shall be able to define, upload, initiation, follow, and terminate a flight plan to the Hummingbird consisting of a set of waypoints outside of the flight range of the Hummingbird.",Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than .08 hours.,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,Two adults are required to carry the UAV,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,The UAV flight range shall be no less than 20 kilometers.,Neural
The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and attempt to reach destination autonomously.,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of calm to moderate winds.",Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAV shall periodically send the Pilot the power status and estimated flight time remaining.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall send the Pilot the power and estimated flight time remaining no less than every minute when the power reaches 10% or lower. ,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall send the Pilot the power and estimated flight time remaining every 1-2 minutes.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall continuosly  send the Pilot the power and estimated flight time remaining.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAV shall send the Pilot the power and estimated flight time remaining on a periodic interval.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall periodically send the Pilot the power and estimated flight time remaining.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall periodically transmit the available flight time to the pilot.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall continuously send the Pilot the power and estimated flight time remaining. ,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall regularly transmit the power and esimated flight time reamining to the pilot. ,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall send the Pilot the power and estimated flight time remaining upon request.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"Ocasionally, The Hummingbird shall send the Pilot the power and estimated flight time remaining.",Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"The UAB, when a button pressed, shall send the Pilot the power and estimated flight time remaining.",Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall in a timely manner send the Pilot the power and estimated flight time remaining.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall send the Pilot the power and estimated flight time remaining when power is low.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The UAB shall every now and then send power and estimated flight time remaining information to the pilot.,Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"The UAV shall send the Pilot the power and estimated flight time remaining, at no more than 30-second intervals.",Conflict
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"Communication between the flight, operations elements, and platform cannot allow hacking or eavesdropping. ",Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The pilot shall be able to fly the UAV to an accessible location in the sky within 30 km of the departure point.,Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The Pilot controller shall detect instances of video feed loss and automatically attempt reconnection.,Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,"The Pilot shall be able to set the zoom, aim and focus of the UAV camera with no more than 3-second delay.",Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The Pilot shall be able to fly the UAV to any location within 20 miles of its origin which is aaccessible by air.,Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The Viewer can influence the flight and camera functions on the UAV. ,Neural
The UAV shall periodically send the Pilot the speed and estimated flight time remaining.,The Pilot controller shall automatically reconnect when a communication loss has occurred.,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and at most 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and at least 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and 4 Viewers or less.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a minimum of at least 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and up to  4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with multiple Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller or a maximum of at least 4 Viewers. ,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 6 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,"The UAV shall communicate with the Pilot Controller, with 4 Viewers observing.",Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at most 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall be able to communicate with the Pilot Controller and a maximum of at least 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller or a maximum of no more than 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of 4 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 6 Viewers.,Conflict
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall be capable of sending a video feed to the pilot and up to four UAV Viewers.,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,One adult is sufficient to lift the UAV,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall accept commands from an authenticated Pilot controller or a Viewer.,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall only execute commands from an authenticated Pilot controller.,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The Pilot controller shall connect or disconnect to at most one Bird Feeder in a secure fashion at any time. ,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than 5 minutes.,Neural
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,"The Pilot controller shall detect instances of communication loss and automatically reconnect, if possible.",Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly behind the Hummingbird and to at least 20 degrees in all directions from pointing backwards.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly below the Hummingbird and to at least 60 degrees in any direction from the down direction.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and up to 60 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least -30 degrees from the horizontal in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall point directly below the Hummingbird and be capable of capturing at least 60 degrees in all directions from directly below.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly above the Hummingbird and to at most 60 degrees in all direction from pointing directly down. ,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly below the Hummingbird and to at least 60 degrees in all direction from pointing directly down. ,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 30 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all other directions.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at most 60 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly under the Hummingbird and to rotate at least 60 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 160 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird as well as at least 60 degrees in all other relative directions.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,Conflict
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The Pilot controller shall link to at most one Hummingbird in a secure fashion at any time. ,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The UAB shall in a timely manner send the Pilot the power and estimated flight time remaining.,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The UAV audio feed shall be free of motion artifacts for slow and moderate speed elements in its visual field.,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The UAV shall only transmit information to authenticated devices.,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,These are the business requirements for the Aviary System of Systems.,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The UAV visual feed shall be free of motion artifacts for slow and high speed elements in its visual field.,Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,"A single adult, who is able to lift 40 or more pounds, shall be able to lift and carry the UAV.",Neural
The camera shall be able to point directly underneath the Hummingbird and to at least 90 degrees in all directions from pointing directly down.,The UAV shall be able to fly above an average 70 story building,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to transmit video feed to the Pilot and up to 4 separate UAV Viewer devices at same time.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and at least 4 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit live video to the Pilot and no more than 4 UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit audio feed to the Pilot and up to 4 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to four separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to 4 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be capable of sending a video feed to the pilot and up to four UAV Viewers.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall not be able to simultaneously transmit video feed to the Pilot and up to 4 separate UAV Viewer devices. ,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to concurrently communicate the video feed to a Pilot and up to 4 distinct UAV Viewer devices. ,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to 3 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to transmit video feed to the Pilot and up to 4 separate UAV Viewer devices at once.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to periodically transmit video feed to the Pilot and up to 4 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to concurrently transmit video to the Pilot and up to 4 different UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot or up to 2 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV must be able to simultaneously transmit video to the Pilot and up to 4 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to 6 separate UAV Viewer devices.,Conflict
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV's direction of flight shall be dependent of its yaw (horizontal rotational orientation). ,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The Pilot controller shall initiate autonomous return of the Hummingbird to its starting position.,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The least time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The Pilot controller shall connect or disconnect to at most one Bird Feeder in a secure fashion at any time. ,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The aircrafts's direction of flight shall be independent of its yaw (horizontal rotational orientation).,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The pilot shall be able to smoothly and automatically control the flight speed from 0 to maximum speed in any direction.,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to fly above an average 100 story building,Neural
The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The pilot's communication with the UAV shall require a secure connection.,Neural
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have HD resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video recording shall have 720p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall be at 720p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 1280 x 1080 resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 1280 x 720 resolution and 60fps frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 720p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have a high resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 1080p resolution and frame rate. ,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video stream shall have 720p resolution and frame rate. ,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have less then 720p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have a resolution and frame rate of 720p.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 1080p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV photo shall have 720p resolution.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 480p resolution and frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 720p resolution and 60 fps rate (?).,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV video feed shall have 4K resolution and 60Hz frame rate.,Conflict
The UAV video feed shall have 1080p resolution and frame rate.,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume or return to 'home' unless communication is reestablished.,Neural
The UAV video feed shall have 1080p resolution and frame rate.,The camera shall be able to point directly above the Hummingbird and to at most 60 degrees in all direction from pointing directly down. ,Neural
